Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Source IP
15747,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0.0,0.0,2730.678859,190.5124786,7873.5,11130.56784,15744,3,15747,7873.5,11130.56784,15744,3,0,0.0,0.0,0,0,0,0,0,0,60,0,190.5124786,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0.0,0,0,0,0,0,0,3,43,0,0,1257,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.60
30917,1,1,49,114,49,49,49.0,0.0,114,114,114.0,0.0,5272.180354,64.6893295,30917.0,0.0,30917,30917,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,32,32.34466475,32.34466475,49,114,70.66666667,37.5277675,1408.333333,0,0,0,0,0,0,0,0,1,106.0,49.0,114.0,0,0,0,0,0,0,1,49,1,114,-1,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.42
97212,2,2,56,220,28,28,28.0,0.0,110,110,110.0,0.0,2839.15566,41.14718348,32404.0,56121.04426,97207,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,64,64,20.57359174,20.57359174,28,110,60.8,44.91324972,2017.2,0,0,0,0,0,0,0,0,1,76.0,28.0,110.0,0,0,0,0,0,0,2,56,2,220,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.0
48,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,333333.3333,83333.33333,16.0,25.98076211,46,1,1,1.0,0.0,1,1,46,46.0,0.0,46,46,0,0,0,0,48,40,41666.66667,41666.66667,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.62
190411,7,5,376,3508,201,0,53.71428571,78.68653906,1460,0,701.6,731.5646246,20397.98121,63.02156913,17310.09091,33726.93931,85346,45,190411,31735.16667,43234.87987,89484,404,91231,22807.75,42923.10536,87138,47,0,0,0,0,152,112,36.76258199,26.25898714,0,1460,298.7692308,539.9757948,291573.859,0,0,0,1,0,0,0,0,0,323.6666667,53.71428571,701.6,0,0,0,0,0,0,7,376,5,3508,8192,60,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.119
60875,2,2,60,250,30,30,30.0,0.0,125,125,125.0,0.0,5092.402464,65.70841889,20291.66667,35141.00148,60869,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,32.85420945,32.85420945,30,125,68.0,52.03364296,2707.5,0,0,0,0,0,0,0,0,1,85.0,30.0,125.0,0,0,0,0,0,0,2,60,2,250,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.57
51762,4,1,517,0,517,0,129.25,258.5,0,0,0.0,0.0,9988.022101,96.59595843,12940.5,17248.30172,36577,32,51762,17254.0,18324.53653,36609,172,0,0.0,0.0,0,0,0,0,0,0,136,40,77.27676674,19.31919169,0,517,86.16666667,211.0643662,44548.16667,0,0,0,1,0,0,0,0,0,103.4,129.25,0.0,0,0,0,0,0,0,4,517,1,0,29200,42408,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.129
167,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,1149700.599,23952.09581,55.66666667,91.22682354,161,2,2,2.0,0.0,2,2,4,4.0,0.0,4,4,0,0,0,0,64,64,11976.0479,11976.0479,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,0,0,0,0,0,0,2,96,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.47
7710802,12,14,2239,4448,799,0,186.5833333,312.4802418,1432,0,317.7142857,488.68307,867.2249657,3.371893092,308432.08,1206563.006,6034345,3,7710802,700982.0,1786517.265,6034666,419,7520919,578532.2308,1665396.16,6034462,3,0,0,0,0,252,292,1.55625835,1.815634742,0,1432,247.6666667,409.1940484,167439.7692,0,0,0,1,0,0,0,0,1,257.1923077,186.5833333,317.7142857,0,0,0,0,0,0,12,2239,14,4448,8192,74,11,20,1676136.0,0.0,1676136,1676136,6034345.0,0.0,6034345,6034345,BENIGN,10.0.1.197
30383,1,1,52,84,52,52,52.0,0.0,84,84,84.0,0.0,4476.187342,65.82628444,30383.0,0.0,30383,30383,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.91314222,32.91314222,52,84,62.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,94.0,52.0,84.0,0,0,0,0,0,0,1,52,1,84,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.101
274270,13,8,1421,3006,485,0,109.3076923,176.7792336,1448,0,375.75,592.1608734,16141.02891,76.56688664,13713.5,20630.87295,50822,1,274270,22855.83333,23217.13104,52240,1,215520,30788.57143,38139.18824,85462,204,0,0,0,0,428,264,47.39854888,29.16833777,0,1448,201.2272727,391.7962215,153504.2792,0,0,0,1,0,0,0,0,0,210.8095238,109.3076923,375.75,0,0,0,0,0,0,13,1421,8,3006,65535,118,7,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.228
47121,1,1,45,189,45,45,45.0,0.0,189,189,189.0,0.0,4965.938753,42.44392097,47121.0,0.0,47121,47121,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,21.22196048,21.22196048,45,189,93.0,83.13843876,6912.0,0,0,0,0,0,0,0,0,1,139.5,45.0,189.0,0,0,0,0,0,0,1,45,1,189,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.133
659712,17,20,1680,2048,257,0,98.82352941,89.82708061,321,0,102.4,124.9574243,5650.950718,56.08507955,18325.33333,34197.72093,107863,2,659712,41232.0,49874.98136,108377,3,563663,29666.47368,45542.56062,150851,3,0,0,0,0,364,424,25.76882033,30.31625922,0,321,98.10526316,108.5254459,11777.7724,0,0,0,1,0,0,0,0,1,100.7567568,98.82352941,102.4,0,0,0,0,0,0,17,1680,20,2048,8192,262,15,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.13
16071140,6,3,962,1200,469,6,160.3333333333,239.0921719059,597,6,400.0,341.2140090911,134.526859949,0.5600100553,2008892.5,3624357.04888041,9676184,16,16071140,3214228.0,4325045.97203365,9676184,66131,10283336,5141668.0,6894943.06902109,10017129,266207,1,0,0,0,120,60,0.3733400369,0.1866700184,6,597,263.1,275.0080604879,75629.4333333333,0,1,0,0,1,0,0,0,0,292.3333333333,160.3333333333,400.0,0,0,0,0,0,0,6,962,3,1200,63643,62833,5,20,440212.0,140414.4361809,539500,340924,7595358.0,2942732.35013856,9676184,5514532,BENIGN,10.0.0.50
1796605,5,2,11601,26,7215,0,2320.2,3328.814384,20,6,13.0,9.899494937,6471.650697,3.896237626,299434.1667,728127.011,1785695,52,1796605,449151.25,891043.1499,1785695,52,509,509.0,0.0,509,509,0,0,0,0,124,40,2.783026876,1.11321075,0,7215,1453.375,2786.259804,7763243.696,0,0,0,1,0,0,0,0,0,1661.0,2320.2,13.0,0,0,0,0,0,0,5,11601,2,26,8192,256,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.134
48475,1,1,55,139,55,55,55.0,0.0,139,139,139.0,0.0,4002.0629190304,41.2583806086,48475.0,0.0,48475,48475,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,40,20.6291903043,20.6291903043,55,139,83.0,48.4974226119,2352.0,0,0,0,0,0,0,0,0,1,124.5,55.0,139.0,0,0,0,0,0,0,1,55,1,139,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.123
28,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,71428.57143,28.0,0.0,28,28,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,35714.28571,35714.28571,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,258,360,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.75
11,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,1090909.091,181818.1818,11.0,0.0,11,11,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,90909.09091,90909.09091,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,256,294,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.186
65,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,246153.8462,61538.46154,21.66666667,8.96288644,32,16,48,48.0,0.0,48,48,49,49.0,0.0,49,49,0,0,0,0,48,40,30769.23077,30769.23077,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.129
984,5,0,37,0,37,0,7.4,16.54690303,0,0,0.0,0.0,37601.62602,5081.300813,246.0,436.3003553,898,1,984,246.0,436.3003553,898,1,0,0.0,0.0,0,0,0,0,0,0,160,0,5081.300813,0.0,0,37,6.166666667,15.10518675,228.1666667,0,0,0,0,1,0,0,0,0,7.4,7.4,0.0,0,0,0,0,0,0,5,37,0,0,65535,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.15
30835,2,2,66,130,33,33,33.0,0.0,65,65,65.0,0.0,6356.413167,129.7227177,10278.33333,17758.44251,30784,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,40,40,64.86135885,64.86135885,33,65,45.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,57.25,33.0,65.0,0,0,0,0,0,0,2,66,2,130,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.37
78,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,38461.5384615385,39.0,12.7279220614,48,30,0,0.0,0.0,0,0,48,48.0,0.0,48,48,0,0,0,0,32,64,12820.5128205128,25641.0256410256,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,243,290,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.203
94688,2,2,86,246,43,43,43.0,0.0,123,123,123.0,0.0,3506.252112,42.24400135,31562.66667,54624.84629,94638,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,0,0,0,0,64,64,21.12200068,21.12200068,43,123,75.0,43.8178046,1920.0,0,0,0,0,0,0,0,0,1,93.75,43.0,123.0,0,0,0,0,0,0,2,86,2,246,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.234
74,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,27027.02703,74.0,0.0,74,74,74,74.0,0.0,74,74,0,0.0,0.0,0,0,0,0,0,0,64,0,27027.02703,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.154
117317205,19,19,2924,11395,1380,0,153.8947368,355.6332216,1430,0,599.7368421,650.4064406,122.053709,0.32390816,3170735.27,13400000.0,58900000,2,117000000,6517622.5,18900000.0,58900000,49,117000000,6513835.389,18900000.0,59000000,2,0,0,0,0,392,392,0.16195408,0.16195408,0,1430,367.1538462,560.0229572,313625.7126,0,0,0,1,0,0,0,0,1,376.8157895,153.8947368,599.7368421,0,0,0,0,0,0,19,2924,19,11395,8192,395,18,20,172808.5,147162.3562,276868,68749,58500000.0,668845.9404,58900000,58000000,BENIGN,10.0.0.61
4,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,3000000.0,500000.0,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,250000.0,250000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,2048,16425,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.241
60369385,3,3,176,481,75,45,58.66666667,15.17673658,240,84,160.3333333,78.05340052,10.88299972,0.099388125,12100000.0,25800000.0,58200000,30452,60300000,30200000.0,39600000.0,58200000,2137650,60300000,30200000.0,39700000.0,58200000,2105204,0,0,0,0,72,60,0.049694063,0.049694063,45,240,100.2857143,72.70422795,5285.904762,0,0,0,0,0,0,0,0,1,117.0,58.66666667,160.3333333,0,0,0,0,0,0,3,176,3,481,-1,-1,2,20,2168102.0,0.0,2168102,2168102,58200000.0,0.0,58200000,58200000,BENIGN,10.0.1.3
23023,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,173.7393042,7674.333333,13147.10498,22855,1,23023,11511.5,16278.30521,23022,1,0,0.0,0.0,0,0,0,0,0,0,60,44,130.3044781,43.43482604,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,0,1006,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.144
253,2,2,72,194,36,36,36.0,0.0,97,97,97.0,0.0,1051383.39920949,15810.2766798419,84.3333333333,140.0083330853,246,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,7905.138339921,7905.138339921,36,97,60.4,33.4110760078,1116.3,0,0,0,0,0,0,0,0,1,75.5,36.0,97.0,0,0,0,0,0,0,2,72,2,194,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.38
108674,8,10,531,5306,201,0,66.375,87.48540695,1460,0,530.6,663.2574831,53711.09925,165.6329941,6392.588235,9142.609639,23767,3,84960,12137.14286,11768.64007,25951,230,84907,9434.111111,15711.59887,45050,3,0,0,0,0,180,212,73.61466404,92.01833005,0,1460,307.2105263,530.7327826,281677.2865,0,0,0,1,0,0,0,0,1,324.2777778,66.375,530.6,0,0,0,0,0,0,8,531,10,5306,29200,290,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.57
459,1,1,52,121,52,52,52.0,0.0,121,121,121.0,0.0,376906.3181,4357.298475,459.0,0.0,459,459,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,2178.649237,2178.649237,52,121,75.0,39.83716857,1587.0,0,0,0,0,0,0,0,0,1,112.5,52.0,121.0,0,0,0,0,0,0,1,52,1,121,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.77
5507963,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.726221291,1835987.667,3148549.032,5471559,124,5507963,2753981.5,3843234.957,5471559,36404,0,0.0,0.0,0,0,0,0,0,0,72,32,0.544665968,0.181555323,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,42780,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.97
116329507,21,19,1838,2659,1381,0,87.52380952,300.7982079,1460,0,139.9473684,386.9748016,38.65743194,0.343850851,2982807.872,4555647.62,10000000,3,116000000,5816475.35,4947345.097,10000000,3,111000000,6147768.111,5028094.307,10000000,192,0,0,0,0,440,392,0.180521697,0.163329154,0,1460,109.6829268,337.0766559,113620.672,0,0,0,1,0,0,0,0,0,112.425,87.52380952,139.9473684,0,0,0,0,0,0,21,1838,19,2659,29200,5120,20,20,41572.58333,45284.70669,185370,28269,9652552.75,1263368.681,10000000,5640863,BENIGN,10.0.1.203
78796,1,1,56,137,56,56,56.0,0.0,137,137,137.0,0.0,2449.362912,25.38199909,78796.0,0.0,78796,78796,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12.69099954,12.69099954,56,137,83.0,46.7653718,2187.0,0,0,0,0,0,0,0,0,1,124.5,56.0,137.0,0,0,0,0,0,0,1,56,1,137,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.76
33700,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,59.34718101,33700.0,0.0,33700,33700,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,29.6735905,29.6735905,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,2778,1888,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.102
8004868,2,0,74,0,37,37,37.0,0.0,0,0,0.0,0.0,9.2443747979,0.2498479675,8004868.0,0.0,8004868,8004868,8004868,8004868.0,0.0,8004868,8004868,0,0.0,0.0,0,0,1,0,0,0,64,0,0.2498479675,0.0,37,37,37.0,0.0,0.0,0,1,0,0,1,1,0,0,0,55.5,37.0,0.0,0,0,0,0,0,0,2,74,0,0,65535,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.19
204,2,2,60,264,30,30,30.0,0.0,132,132,132.0,0.0,1588235.294,19607.84314,68.0,105.7307902,190,3,3,3.0,0.0,3,3,11,11.0,0.0,11,11,0,0,0,0,40,40,9803.921569,9803.921569,30,132,70.8,55.86770087,3121.2,0,0,0,0,0,0,0,0,1,88.5,30.0,132.0,0,0,0,0,0,0,2,60,2,264,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.192
61,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,32786.88525,61.0,0.0,61,61,61,61.0,0.0,61,61,0,0.0,0.0,0,0,0,0,0,0,40,0,32786.88525,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,16333,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.144
31156,4,2,120,92,30,30,30.0,0.0,46,46,46.0,0.0,6804.467839,192.5792785,6231.2,13582.74154,30524,1,30529,10176.33333,17621.5963,30524,1,4,4.0,0.0,4,4,0,0,0,0,104,40,128.3861856,64.19309282,30,46,34.57142857,7.807200584,60.95238095,0,0,0,0,0,0,0,0,0,40.33333333,30.0,46.0,0,0,0,0,0,0,4,120,2,92,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.5
5334743,2,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.749801818,1778247.667,2978370.508,5216700,72,118043,118043.0,0.0,118043,118043,5216772,5216772.0,0.0,5216772,5216772,0,0,0,0,72,72,0.374900909,0.374900909,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,29200,29,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.1.45
219,2,2,104,360,52,52,52.0,0.0,180,180,180.0,0.0,2118721.461,18264.84018,73.0,84.32674546,167,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,40,40,9132.420091,9132.420091,52,180,103.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,129.0,52.0,180.0,0,0,0,0,0,0,2,104,2,360,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,10.0.0.11
